order_dow,order_hour_of_day,partition
0,0,test
0,1,train
0,2,train
0,3,train
0,4,train
0,5,train
0,6,train
0,7,train
0,8,test
0,9,train
0,10,train
0,11,test
0,12,train
0,13,train
0,14,train
0,15,train
0,16,test
0,17,train
0,18,test
0,19,train
0,20,train
0,21,train
0,22,train
0,23,train
1,0,test
1,1,train
1,2,train
1,3,train
1,4,train
1,5,train
1,6,train
1,7,train
1,8,test
1,9,train
1,10,train
1,11,test
1,12,train
1,13,train
1,14,train
1,15,train
1,16,test
1,17,train
1,18,test
1,19,train
1,20,train
1,21,train
1,22,train
1,23,train
2,0,test
2,1,train
2,2,train
2,3,train
2,4,train
2,5,train
2,6,train
2,7,train
2,8,test
2,9,train
2,10,train
2,11,test
2,12,train
2,13,train
2,14,train
2,15,train
2,16,test
2,17,train
2,18,test
2,19,train
2,20,train
2,21,train
2,22,train
2,23,train
3,0,test
3,1,train
3,2,train
3,3,train
3,4,train
3,5,train
3,6,train
3,7,train
3,8,test
3,9,train
3,10,train
3,11,test
3,12,train
3,13,train
3,14,train
3,15,train
3,16,test
3,17,train
3,18,test
3,19,train
3,20,train
3,21,train
3,22,train
3,23,train
4,0,test
4,1,train
4,2,train
4,3,train
4,4,train
4,5,train
4,6,train
4,7,train
4,8,test
4,9,train
4,10,train
4,11,test
4,12,train
4,13,train
4,14,train
4,15,train
4,16,test
4,17,train
4,18,test
4,19,train
4,20,train
4,21,train
4,22,train
4,23,train
5,0,test
5,1,train
5,2,train
5,3,train
5,4,train
5,5,train
5,6,train
5,7,train
5,8,test
5,9,train
5,10,train
5,11,test
5,12,train
5,13,train
5,14,train
5,15,train
5,16,test
5,17,train
5,18,test
5,19,train
5,20,train
5,21,train
5,22,train
5,23,train
6,0,test
6,1,train
6,2,train
6,3,train
6,4,train
6,5,train
6,6,train
6,7,train
6,8,test
6,9,train
6,10,train
6,11,test
6,12,train
6,13,train
6,14,train
6,15,train
6,16,test
6,17,train
6,18,test
6,19,train
6,20,train
6,21,train
6,22,train
6,23,train
