mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
0.47008776664733887,0.027533345987310914,0.023276984691619873,0.003973478103783272,400,4,0.7,,"{'n_estimators': 400, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': None}",-5426.60079239146,-6530.539621358715,-3343.674688696437,-2594.517487707458,-4473.833147538518,1576.9347795574085,8
0.46616673469543457,0.013423188788486086,0.02268195152282715,0.001916553095763659,400,2,0.7,,"{'n_estimators': 400, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': None}",-4945.022809954134,-6227.366981364667,-2744.421671758399,-1725.5657998866245,-3910.594315740956,1772.8357329777614,4
0.2595955729484558,0.008776147394906505,0.01236259937286377,0.0009444224359546952,200,1,0.7,,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': None}",-4871.547714285714,-6061.585285714286,-2912.7614285714294,-1464.298214285714,-3827.5481607142865,1767.9537620038925,2
0.22812914848327637,0.006725634708281082,0.011263668537139893,0.000611709628323032,200,8,1.0,,"{'n_estimators': 200, 'min_samples_leaf': 8, 'max_features': 1.0, 'max_depth': None}",-8620.38630956004,-7538.472962375243,-3205.41439303432,-3207.506792559011,-5642.945114382153,2466.32812750954,20
0.10962224006652832,0.003498998169654665,0.006519615650177002,0.00011585724794372824,100,8,0.7,5,"{'n_estimators': 100, 'min_samples_leaf': 8, 'max_features': 0.7, 'max_depth': 5}",-6857.863628215132,-6444.656558257977,-3873.6003672907414,-3616.025706505715,-5198.036565067392,1463.3845090720579,16
0.27640485763549805,0.06002414626276418,0.01688176393508911,0.0032240378826110805,200,4,0.7,,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': None}",-5362.011729397914,-6612.889708119298,-3542.1428385523755,-2615.6093906776086,-4533.163416686799,1554.9426196575214,10
0.19463354349136353,0.01278445741587405,0.009878695011138916,0.0008587389986596006,100,8,1.0,8,"{'n_estimators': 100, 'min_samples_leaf': 8, 'max_features': 1.0, 'max_depth': 8}",-8598.883818657097,-7610.601178990168,-3175.5089368968743,-3186.504064039339,-5642.874499645869,2486.543178583777,19
0.19792068004608154,0.0067469283484623485,0.011232554912567139,0.0017349337761850758,100,4,1.0,5,"{'n_estimators': 100, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 5}",-7037.301647882968,-7265.5800999125995,-2384.77384766031,-2641.7601285031956,-4832.353930989769,2322.2690140876784,14
0.1955699324607849,0.004333270331915877,0.011246323585510254,0.0010220905005489445,100,1,0.7,3,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 3}",-5960.292366305375,-6992.804779851247,-3010.4738256641417,-2621.4798940698556,-4646.262716472655,1871.3954919414118,12
0.24056094884872437,0.02117324988051576,0.012485146522521973,0.001106385886178463,200,8,0.7,3,"{'n_estimators': 200, 'min_samples_leaf': 8, 'max_features': 0.7, 'max_depth': 3}",-6520.900947082683,-7150.972117927138,-4525.966508572091,-3697.790834300657,-5473.907601970643,1410.8440332245636,17
0.2421068549156189,0.012281880122698251,0.012426435947418213,0.0018963793876669037,200,2,1.0,8,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': 8}",-6433.750823979592,-6972.6489571428565,-1939.5954871882072,-2369.7830733418346,-4428.944585413123,2287.2846920847496,6
0.11151701211929321,0.002555652746986585,0.00706791877746582,0.0005009244135788527,100,4,0.7,5,"{'n_estimators': 100, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 5}",-5770.159160713306,-6657.484297059874,-2948.5089437484376,-2409.0573993582334,-4446.302450219962,1805.2475270029795,7
0.12087345123291016,0.004795060693818567,0.006748020648956299,0.0003329870921304168,100,4,1.0,3,"{'n_estimators': 100, 'min_samples_leaf': 4, 'max_features': 1.0, 'max_depth': 3}",-7279.970656649082,-7115.102603030639,-2451.1496854084157,-3074.0370448526446,-4980.064997485195,2229.142594699828,15
0.21616369485855103,0.0047962832439169215,0.01113748550415039,0.00034063002656898987,200,2,0.7,3,"{'n_estimators': 200, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 3}",-5849.909413934215,-6670.4469450114375,-3463.6766163838765,-2592.075423931528,-4644.027099815265,1670.6482640287081,11
0.22722333669662476,0.004722478141706548,0.011159956455230713,0.00013707527561267405,200,4,0.7,5,"{'n_estimators': 200, 'min_samples_leaf': 4, 'max_features': 0.7, 'max_depth': 5}",-5374.73878491376,-6510.448373732924,-3564.339555173511,-2594.4245319255774,-4510.987811436444,1525.8822046456492,9
0.4682839512825012,0.006522025203340866,0.022258281707763672,0.0019788864936791852,400,1,0.7,5,"{'n_estimators': 400, 'min_samples_leaf': 1, 'max_features': 0.7, 'max_depth': 5}",-4807.13807312942,-6014.974670313007,-2761.21355673679,-1628.7776782919302,-3803.0259946177866,1711.2631962158946,1
0.12080341577529907,0.009741899378294503,0.007027924060821533,0.0006468908848042683,100,1,1.0,3,"{'n_estimators': 100, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': 3}",-7158.509316404437,-6977.959160715107,-2148.9464812525334,-2788.4570945867804,-4768.468013239714,2311.7355415431257,13
0.2254888415336609,0.01060224559128565,0.011208772659301758,0.0005001836267363716,200,8,1.0,3,"{'n_estimators': 200, 'min_samples_leaf': 8, 'max_features': 1.0, 'max_depth': 3}",-8620.379603581328,-7540.394952641858,-3121.169459893921,-3245.0299057170914,-5631.74348045855,2478.622597295273,18
0.5100995302200317,0.06635584195293921,0.025087714195251465,0.0032028450110044263,400,2,0.7,8,"{'n_estimators': 400, 'min_samples_leaf': 2, 'max_features': 0.7, 'max_depth': 8}",-4950.043047879304,-6234.43554709596,-2729.4552114365783,-1719.903621898193,-3908.4593570775087,1780.0905035209457,3
0.4171868562698364,0.005147060543385325,0.01856154203414917,0.001117168028465215,200,1,1.0,,"{'n_estimators': 200, 'min_samples_leaf': 1, 'max_features': 1.0, 'max_depth': None}",-6245.207285714285,-6941.766857142857,-1966.7069999999999,-2161.191428571428,-4328.718142857142,2279.1568020894842,5
